tstart dt tend dta dtb Ka Kb Ma Mb Mca Mcb binary Ra Rb RFa RFb Rla Rlb La Lb Ta Tb a per e wa wb worb wps wbreaka wbreakb Va Vb mt ce sn mttype aspina aspinb other
0.000000000 0.0323077 0.032308 0.0323166 0.0327985 1 1 143.731040 130.783376 0.000 0.000 1 17.905725 16.938878 17.905725 16.938878 94.152 90.1686 2.28827e+06 1.9599e+06 53030 53030 760 211069 0.680000 4.82494e+08 5.15863e+08 1.5657e+07 1.12108e+08 3.13281e+09 3.24785e+09 190.538 192.715557 0 0 0 -1 -1.000000000000 -1.000000000000 0
0.032307734 0.0323166 0.064624 0.0323255 0.0328077 1 1 143.460687 130.565524 0.000 0.000 1 17.978188 17.007572 17.978188 17.007572 94.3142 90.3327 2.29102e+06 1.96292e+06 52938.9 52938.9 761.346 211818 0.680000 4.74539e+08 5.08334e+08 1.56016e+07 1.11712e+08 3.11096e+09 3.2255e+09 188.155 190.673117 0 0 0 0 -1.000000000000 -1.000000000000 0
0.064624330 0.0323255 0.096950 0.0323346 0.0328169 1 1 143.188876 130.346395 0.000 0.000 1 18.051002 17.076595 18.051002 17.076595 94.4777 90.4983 2.29395e+06 1.96609e+06 52848.9 52848.9 762.703 212575 0.680000 4.63729e+08 4.97604e+08 1.5546e+07 1.11314e+08 3.08922e+09 3.20327e+09 184.613 187.405796 0 0 0 0 -1.000000000000 -1.000000000000 0
0.096949877 0.0323346 0.129284 0.0323437 0.0328262 1 1 142.915544 130.125941 0.000 0.000 1 18.124276 17.146043 18.124276 17.146043 94.6429 90.6654 2.29707e+06 1.96941e+06 52759.9 52759.9 764.073 213341 0.680000 4.53112e+08 4.87048e+08 1.54902e+07 1.10914e+08 3.06757e+09 3.18114e+09 181.119 184.176387 0 0 0 0 -1.000000000000 -1.000000000000 0
0.129284466 0.0323437 0.161628 0.032353 0.0328357 1 1 142.640630 129.904114 0.000 0.000 1 18.198122 17.216013 18.198122 17.216013 94.8095 90.8341 2.30039e+06 1.97289e+06 52671.7 52671.7 765.456 214115 0.680000 4.4268e+08 4.76659e+08 1.54342e+07 1.10513e+08 3.04599e+09 3.15907e+09 177.67 180.983226 0 0 0 0 -1.000000000000 -1.000000000000 0
0.161628191 0.032353 0.193981 0.0323623 0.0328452 1 1 142.364067 129.680864 0.000 0.000 1 18.272655 17.286603 18.272655 17.286603 94.9778 91.0044 2.30389e+06 1.97651e+06 52584.2 52584.2 766.853 214899 0.680000 4.32423e+08 4.66428e+08 1.5378e+07 1.1011e+08 3.02443e+09 3.13704e+09 174.264 177.824749 0 0 0 0 -1.000000000000 -1.000000000000 0
0.193981151 0.0323623 0.226343 0.0323717 0.0328549 1 1 142.085792 129.456141 0.000 0.000 1 18.347989 17.357913 18.347989 17.357913 95.1477 91.1765 2.30757e+06 1.98028e+06 52497.1 52497.1 768.263 215691 0.680000 4.22334e+08 4.56348e+08 1.53215e+07 1.09706e+08 3.00289e+09 3.11502e+09 170.9 174.699485 0 0 0 0 -1.000000000000 -1.000000000000 0
0.226343444 0.0323717 0.258715 0.0323813 0.0328646 1 1 141.805739 129.229897 0.000 0.000 1 18.424238 17.430043 18.424238 17.430043 95.3194 91.3502 2.31144e+06 1.9842e+06 52410.3 52410.3 769.687 216493 0.680000 4.12406e+08 4.46412e+08 1.52647e+07 1.09299e+08 2.98132e+09 3.093e+09 167.576 171.606056 0 0 0 0 -1.000000000000 -1.000000000000 0
0.258715176 0.0323813 0.291096 0.0323909 0.0328745 1 1 141.523843 129.002080 0.000 0.000 1 18.501521 17.503094 18.501521 17.503094 95.4928 91.5258 2.31549e+06 1.98826e+06 52323.6 52323.6 771.126 217305 0.680000 4.02632e+08 4.36615e+08 1.52077e+07 1.08891e+08 2.95972e+09 3.07095e+09 164.291 168.543176 0 0 0 0 -1.000000000000 -1.000000000000 0
0.291096455 0.0323909 0.323487 0.0324007 0.0328844 1 1 141.240038 128.772638 0.000 0.000 1 18.579956 17.577170 18.579956 17.577170 95.668 91.7032 2.31972e+06 1.99247e+06 52236.9 52236.9 772.581 218127 0.680000 3.93005e+08 4.26949e+08 1.51503e+07 1.08481e+08 2.93804e+09 3.04884e+09 161.042 165.509646 0 0 0 0 -1.000000000000 -1.000000000000 0
